desc,Code,country,countryCode,data
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,13.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,69.6429
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,59.5797
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,91.5675
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,14.3391
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,76
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,74.2949
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,64.7449
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,97.17
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,86.545
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,87.7522
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,79.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas",BHS,85
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,99.7015
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,12.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,81.7608
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,82.7892
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,90.3705
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,47.0826
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,20
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,98.37
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,48.1064
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,43.8323
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,69.9463
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,47
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,67.4713
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,77.7043
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,95
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,67.947
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,16
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,2.66075
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,58.1714
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,40
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,23.203
