Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,..,5,5.45455,5.9,7,8.26,11.2,13.5,13.5,13.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,0.114097,49,54.656,57.2,60.1,63.2529,66.3634,71.847,71.847,69.6429,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,0.491706,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,59.5797,59.5797,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,10.5388,81,86.4344,94,95.9,96.91,97.9306,91.5675,91.5675,91.5675,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,0.105046,3.1,6.5,8.9,21.4,12.4,13,14.3391,14.3391,14.3391,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,6.48223,52,58,63.4,67.78,70,73,76,76,76,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,7.03868,51,55.8,59.9,64.7,68.0431,70.969,74.2949,74.2949,74.2949,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,1.30047,32,37.5,41.9,54.6228,59.1024,64.346,64.7449,64.7449,64.7449,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,15.4428,69,74,78.9,83.78,88.6612,93.5425,97.17,97.17,97.17,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585095,46.7561,79.4877,79,83.4535,84,84.5605,86.54,86.545,86.545,86.545,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369,33.7301,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.7105,87.7522,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,0.147758,50,54.2,73,75,77,78.2,79,79.8,79.8,..
